Category,Message
ham,"I think your mentor is , but not 100 percent sure."
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
spam,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
ham,Thanks for this hope you had a good day today
ham,I'm done...
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
ham,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?
ham,Watching tv lor. Nice one then i like lor.
ham,I've sent ü my part..
ham,None of that's happening til you get here though
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,R u over scratching it?
ham,Thanks  and ! Or bomb and date as my phone wanted to say!
ham,What's a feathery bowa? Is that something guys have that I don't know about?
spam,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p"
ham,That's y we haf to combine n c how lor...
ham,You do your studies alone without anyones help. If you cant no need to study.
ham,How much r ü willing to pay?
ham,That is wondarfull song
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,Tmr timin still da same wat cos i got lesson until 6...
ham,Is there coming friday is leave for pongal?do you get any news from your work place.
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
spam,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8"
ham,What???? Hello wats talks email address?
ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!"
ham,"Yeah probably, I still gotta check out with leo"
ham,Are you available for soiree on June 3rd?
ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
ham,Good night my dear.. Sleepwell&amp;Take care
ham,S now only i took tablets . Reaction morning only.
ham,Hai priya are you right. What doctor said pa. Where are you.
ham,Id onluy matters when getting on from offcampus
spam,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,No messages on her phone. I'm holding it now
ham,"That means you got an A in epi, she.s fine. She.s here now."
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,Ok lor then we go tog lor...
ham,Happy birthday to you....dear.with lots of love.rakhesh NRI
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
ham,Ok...
ham,The basket's gettin full so I might be by tonight
ham,Tell dear what happen to you. Why you talking to me like an alian
ham,The hair cream has not been shipped.
ham,Dear i have reache room
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
ham,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
ham,Nothing. Can...
ham,I'm done oredi...
ham,New car and house for my parents.:)i have only new job in hand:)
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
ham,"It‘s reassuring, in this crazy world."
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham,Nope... Think i will go for it on monday... Sorry i replied so late
ham,Hey what happen de. Are you alright.
ham,Then we gotta do it after that
ham,He is world famamus....
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
ham,Where are you call me.
ham,We're finally ready fyi
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
ham,"Alright if you're sure, let me know when you're leaving"
ham,Hey whats up? U sleeping all morning?
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
ham,I am not sure about night menu. . . I know only about noon menu
ham,I cant pick the phone right now. Pls send a message
ham,Ü predict wat time ü'll finish buying?
ham,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again
ham,Dunno y u ask me.
ham,Dude we should go sup again
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
ham,"I am real, baby! I want to bring out your inner tigress..."
ham,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
ham,My birthday is on feb  &lt;#&gt;  da. .
spam,"accordingly. I repeat, just text the word ok on your mobile phone and send"
ham,Here got lots of hair dresser fr china.
ham,How are you enjoying this semester? Take care brother.
ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
spam,88800 and 89034 are premium phone services call 08718711108
ham,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?"
ham,We will meet soon princess! Ttyl!
ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
ham,"Sorry, I'll call later"
ham,Pls send me your address sir.
ham,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng."
ham,Loosu go to hospital. De dont let it careless.
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
ham,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
ham,I'm done. C ü there.
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
ham,K then 2marrow are you coming to class.
ham,Ill be at yours in about 3 mins but look out for me
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY
ham,I always chat with you. In fact i need money can you raise me?
spam,08714712388 between 10am-7pm Cost 10p
ham,I gotta collect da car at 6 lei.
ham,I'm in inside office..still filling forms.don know when they leave me.
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,Check audrey's status right now
ham,I notice you like looking in the shit mirror youre turning into a right freak
ham,Still in customer place
spam,Call FREEPHONE 0800 542 0578 now!
ham,Hey happy birthday...
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency
ham,Can you do a mag meeting this avo at some point?
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
ham,"Are you being good, baby? :)"
ham,Ha ha - had popped down to the loo when you hello-ed me. Hello!
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.."
ham,"Life is nothing wen v get everything. But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng"
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,This phone has the weirdest auto correct.
ham,Have a good evening! Ttyl
ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.
ham,No..but heard abt tat..
ham,LOL ... No just was busy
ham,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight
ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
ham,Yo! Howz u? girls never rang after india. L
ham,"Yes obviously, but you are the eggs-pert and the potato head… Speak soon!"
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
ham,Aiyah u did ok already lar. E nydc at wheellock?
ham,Mm have some kanji dont eat anything heavy ok
ham,"Aight, sounds good. When do you want me to come down?"
spam,You have an important customer service announcement from PREMIER.
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
ham,Hi Petey!noim ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,Nah dub but je still buff
ham,Reverse is cheating. That is not mathematics.
ham,What should i eat fo lunch senor
ham,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"
spam,"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!"
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
ham,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?"
ham,"Sorry, I can't help you on this."
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
ham,K...k:)why cant you come here and search job:)
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
ham,Honey boo I'm missing u.
ham,"There're some people by mu, I'm at the table by lambda"
ham,God bless.get good sleep my dear...i will pray!
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
ham,"Received, understood n acted upon!"
ham,"Hiya, probably coming home * weekend after next"
ham,Ok thanx... Take care then...
ham,Where @
ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
ham,"SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."
ham,"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx"
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
spam,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,So how many days since then?
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
ham,How? Izzit still raining?
ham,What time should I tell my friend to be around?
ham,You'd like that wouldn't you? Jerk!
ham,Im on gloucesterroad what are uup to later?
ham,Just got outta class gonna go gym.
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,Apart from the one i told you about yesterday?
ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.
ham,Or ü go buy wif him then i meet ü later can?
ham,I think it's all still in my car
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
ham,I thought slide is enough.
ham,Got it..mail panren paru..
ham,If I was I wasn't paying attention
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,Yes. It's all innocent fun. O:-)
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
ham,"Probably not, still going over some stuff here"
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
ham,A guy who gets used but is too dumb to realize it.
ham,You want to go?
ham,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks
ham,No rushing. I'm not working. I'm in school so if we rush we go hungry.
ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
ham,Please don't text me anymore. I have nothing else to say.
ham,Prabha..i'm soryda..realy..frm heart i'm sory
ham,Lovely smell on this bus and it ain't tobacco...
ham,Are u awake? Is there snow there?
ham,Aight sorry I take ten years to shower. What's the plan?
ham,Cant think of anyone with * spare room off * top of my head
ham,Daddy will take good care of you :)
ham,All e best 4 ur exam later.
ham,Huh so early.. Then ü having dinner outside izzit?
ham,"Since when, which side, any fever, any vomitin."
ham,"Aight, call me once you're close"
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
ham,K I'll take care of it
ham,Pls send me the correct name da.
ham,You also didnt get na hi hi hi hi hi
ham,I will come tomorrow di
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
ham,I will come to ur home now
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
ham,Sorry about that this is my mates phone and i didnt write it love Kate
ham,"Awesome, that gonna be soon or later tonight?"
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
ham,"Nah, I'm a perpetual DD"
ham,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
ham,Is toshiba portege m100 gd?
ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
ham,What's your room number again? Wanna make sure I'm knocking on the right door
ham,I got your back! Do you have any dislikes in bed?
ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
ham,He also knows about lunch menu only da. . I know
ham,"Okay, good, no problem, and thanx!"
ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
ham,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
ham,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...
spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182"
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Cancel cheyyamo?and get some money back?
ham,I just saw ron burgundy captaining a party boat so yeah
ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
ham,Can ü all decide faster cos my sis going home liao..
ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,I dled 3d its very imp
ham,"That's fine, I'll bitch at you about it later then"
ham,Good night my dear.. Sleepwell&amp;Take care
ham,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.
ham,4 oclock at mine. Just to bash out a flat plan.
ham,Do u noe wat time e place dat sells 4d closes?
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,Whom you waited for yesterday
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,My sister cleared two round in birla soft yesterday.
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,The battery is for mr adewale my uncle. Aka Egbon
ham,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"
ham,R ü going 4 today's meeting?
ham,Really good:)dhanush rocks once again:)
ham,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
ham,No..jst change tat only..
ham,I liked the new mobile
ham,But pls dont play in others life.
ham,Sorry i missed your call. Can you please call back.
ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*"
ham,Yes there were many sweets
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
ham,Am going to take bath ill place the key in window:-)
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,"Sorry, I'll call later"
ham,Ok...
ham,I need... Coz i never go before
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
ham,Ok i'm coming home now.
ham,I might go 2 sch. Yar at e salon now v boring.
ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
ham,"No my blankets are sufficient, thx"
ham,Hi dis is yijue i would be happy to work wif ü all for gek1510...
ham,Aiya we discuss later lar... Pick ü up at 4 is it?
ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no
ham,Ü mean it's confirmed... I tot they juz say oni... Ok then...
ham,Dont gimme that lip caveboy
ham,Moji i love you more than words. Have a rich day
ham,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
ham,Thank u!
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
spam,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
ham,645
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
ham,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
ham,Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.
ham,"Oh... Icic... K lor, den meet other day..."
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
ham,Would really appreciate if you call me. Just need someone to talk to.
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
ham,Yo we are watching a movie on netflix
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Hey are we going for the lo lesson or gym?
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
ham,Now i'm going for lunch.
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
ham,Host-based IDPS for linux systems.
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
ham,So i asked how's anthony. Dad. And your bf
ham,You flippin your shit yet?
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
ham,"Hi elaine, is today's meeting confirmed?"
ham,Which is weird because I know I had it at one point
ham,Speaking of does he have any cash yet?
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
ham,Ok. She'll be ok. I guess
ham,Oh k.k..where did you take test?
ham,Nokia phone is lovly..
ham,:-) yeah! Lol. Luckily i didn't have a starring role like you!
ham,Yeah it's jus rite...
ham,Many more happy returns of the day. I wish you happy birthday.
ham,Hi dude hw r u da realy mising u today
ham,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?"
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
ham,Yeah get the unlimited
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Can ü call me at 10:10 to make sure dat i've woken up...
ham,"Awesome, text me when you're restocked"
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
ham,"Probably, want to pick up more?"
ham,Dear where you will be when i reach there
ham,My phone
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
ham,Wow v v impressed. Have funs shopping!
ham,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)"
ham,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
ham,aathi..where are you dear..
ham,* Am on my way
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
ham,"Thank you. And by the way, I just lost."
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
ham,I know a few people I can hit up and fuck to the yes
ham,"Now, whats your house # again ? And do you have any beer there ?"
spam,You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
